id;tekst;user;fødselsår;dialekt;køn;postnummer;varighed_sek;word_error_rate;sætning_id
38488add-5d78-4e66-bc9d-8dcfdb0079ea;I dag starter Søren sin tur ved at tage cyklen fra kælderen. Han kører ud på de cykelstier, der fører gennem byens gader. Cykelstierne gør turen mere sikker.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;14;0,321;1
659147ab-f913-4107-9819-6b03d987ed80;Kommunen har gjort meget for at forbedre cykelstierne. Søren mærker forskellen, når han cykler på de nye stier, som er adskilt fra bilerne.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;7;0,174;2
4f595695-1b54-4706-b9fc-9e17d07eb1da;Undervejs passerer Søren flere lyskryds med særlige cykellys. Disse lys giver cyklister grønt lys, før bilerne starter. Det gør det mere sikkert at cykle.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;9;0,250;3
b86384e2-0970-4ba3-bb74-f375e95c7cab;Søren ser også nye skilte for cyklister. Skiltene viser de bedste ruter og fortæller, hvor langt der er til forskellige steder. Det gør det nemmere at finde vej.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;8;0,214;4
96a52912-dd47-448c-b489-65049ea02fb5;På vejen ser Søren en skolepatrulje, der hjælper børn sikkert over vejen. Han tænker på, hvor vigtigt det er med synlighed og sikkerhed, især i myldretiden.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;9;0,423;5
1427f72b-d7ae-4547-9ad6-af873111b0b4;Søren cykler forbi en cykelpumpe, som er sat op til fri brug. Han stopper et øjeblik for at tjekke lufttrykket i sine dæk og sikrer sig, at de er i orden.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;9;0,065;7
6b9085d5-208e-4ecc-a402-a571132f25eb;Lidt længere fremme er der en cykelparkeringszone med mange stativer. Det er nemt for cyklister at finde en plads tæt på butikkerne.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;8;0,045;8
6fd268d1-0810-44d3-907a-308be811dc1d;Efter at have handlet tager Søren sin cykel og fortsætter til sit kontor. Han cykler langs åen, hvor stien giver en naturskøn og sikker rute.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;8;0,400;9
71d74fa9-bc7e-4a47-ac87-5dd0255551b3;Når dagen slutter, cykler Søren hjem igen. Han er glad for, at kommunen gør en indsats for at forbedre forholdene for cyklister i Vildby.;5a32a6b5c5062c7cfe41032c85e7f623f0e36e6a;1950_erne;oestjysk;male;6000;7;0,208;10
07bcdc57-4f56-43c2-b0e8-31b964f4b37a;Søren cykler hver dag fra sin lejlighed til sit arbejde i Vildby. Ligesom mange andre foretrækker han cyklen frem for bilen. Det er hurtigt og nemt at komme rundt i byen.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;18;0,194;0
