id;tekst;user;fødselsår;dialekt;køn;postnummer;varighed_sek;word_error_rate;sætning_id
07bcdc57-4f56-43c2-b0e8-31b964f4b37a;Søren cykler hver dag fra sin lejlighed til sit arbejde i Vildby. Ligesom mange andre foretrækker han cyklen frem for bilen. Det er hurtigt og nemt at komme rundt i byen.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;18;0.193548;0
937c3039-f12a-4b4e-83e5-3f2b857de219;I dag starter Søren sin tur ved at tage cyklen fra kælderen. Han kører ud på de cykelstier, der fører gennem byens gader. Cykelstierne gør turen mere sikker.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;15;0.107143;1
f405face-9619-47b2-872f-6871f3f8a711;Kommunen har gjort meget for at forbedre cykelstierne. Søren mærker forskellen, når han cykler på de nye stier, som er adskilt fra bilerne.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;11;0.0;2
f0fd9653-c2d6-4e2f-b920-85b33ec762ab;Undervejs passerer Søren flere lyskryds med særlige cykellys. Disse lys giver cyklister grønt lys, før bilerne starter. Det gør det mere sikkert at cykle.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;13;0.166667;3
8d8c3ea4-004f-44b4-9afe-f920922c4ce3;Søren ser også nye skilte for cyklister. Skiltene viser de bedste ruter og fortæller, hvor langt der er til forskellige steder. Det gør det nemmere at finde vej.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;11;0.107143;4
24b34c5f-6b02-4d38-8fc2-f0e53de6baf5;På vejen ser Søren en skolepatrulje, der hjælper børn sikkert over vejen. Han tænker på, hvor vigtigt det er med synlighed og sikkerhed, især i myldretiden.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;11;0.0;5
fd1caf73-bbfe-4c69-b421-3bf24e93d9bc;I parken ser Søren et skilt om vintervedligeholdelse af cykelstierne. Kommunen sørger for, at stierne er ryddet og sikre, selv når det er sne og frost.;472469dbe6c7d073d977b9ecea3d4d3a62a745f4;1970_erne;oestjysk;female;8500;13;0.423077;6
13882af5-51f0-4f9b-856d-4ef4c37e1f94;Kasper arbejder i Vildby Kommune og er ansvarlig for at fremme medborgerskab, frivillighed og samskabelse. Han tror på, at borgerne spiller en vigtig rolle i byens udvikling.;7b369910116747fe12e950547827d4712428eef9;1960_erne;oestjysk;male;2900;10;0.0;12
84b757cb-7eab-46ac-a56d-cab9c8b50ed6;Dagen starter med et møde om et nyt projekt, hvor borgerne skal inddrages i at skabe nye kulturelle tilbud. Kasper og hans kolleger diskuterer, hvordan de bedst kan engagere borgerne.;7b369910116747fe12e950547827d4712428eef9;1960_erne;oestjysk;male;2900;10;0.1;13
102e4459-3b8b-48ea-b4ce-993878a111ba;Efter mødet besøger Kasper en lokal frivilligorganisation. Her møder han engagerede borgere, der arbejder med at arrangere events og aktiviteter for børn og unge i deres nærområde.;7b369910116747fe12e950547827d4712428eef9;1960_erne;oestjysk;male;2900;11;0.0740741;14
